Reach Name,Flow (cfs),Rock Stage @ Pine View,Frequency Description
MISHIWAKA INN TO POUDRE PARK,2048,4.21,Flows exceed this rate 1% of the time
NARROWS PICNIC GROUND TO STEVEN'S GULCH ACCESS,47,0.87,Flows exceed this rate 90% of the time
NARROWS PICNIC GROUND TO STEVEN'S GULCH ACCESS,86,1.42,Flows exceed this rate 75% of the time
NARROWS PICNIC GROUND TO STEVEN'S GULCH ACCESS,196,2.15,Flows exceed this rate 50% of the time
NARROWS PICNIC GROUND TO STEVEN'S GULCH ACCESS,561,3.11,Flows exceed this rate 25% of the time
NARROWS PICNIC GROUND TO STEVEN'S GULCH ACCESS,1286,3.85,Flows exceed this rate 10% of the time
NARROWS PICNIC GROUND TO STEVEN'S GULCH ACCESS,1902,4.21,Flows exceed this rate 1% of the time
PINEVIEW FALLS TO BRIDGES TAKE-OUT,57,1.00,Flows exceed this rate 90% of the time
PINEVIEW FALLS TO BRIDGES TAKE-OUT,91,1.41,Flows exceed this rate 75% of the time
PINEVIEW FALLS TO BRIDGES TAKE-OUT,203,2.12,Flows exceed this rate 50% of the time
PINEVIEW FALLS TO BRIDGES TAKE-OUT,596,3.08,Flows exceed this rate 25% of the time
PINEVIEW FALLS TO BRIDGES TAKE-OUT,1407,3.84,Flows exceed this rate 10% of the time
PINEVIEW FALLS TO BRIDGES TAKE-OUT,2144,4.22,Flows exceed this rate 1% of the time
POUDRE PARK PICNIC GOUND TO BELOW PINE VIEW FALLS,57,0.98,Flows exceed this rate 90% of the time
POUDRE PARK PICNIC GOUND TO BELOW PINE VIEW FALLS,91,1.41,Flows exceed this rate 75% of the time
POUDRE PARK PICNIC GOUND TO BELOW PINE VIEW FALLS,204,2.13,Flows exceed this rate 50% of the time
POUDRE PARK PICNIC GOUND TO BELOW PINE VIEW FALLS,592,3.08,Flows exceed this rate 25% of the time
POUDRE PARK PICNIC GOUND TO BELOW PINE VIEW FALLS,1394,3.84,Flows exceed this rate 10% of the time
POUDRE PARK PICNIC GOUND TO BELOW PINE VIEW FALLS,2111,4.21,Flows exceed this rate 1% of the time
STEVEN'S GULCH ACCESS TO MISHAWAKA INN,48,0.88,Flows exceed this rate 90% of the time
STEVEN'S GULCH ACCESS TO MISHAWAKA INN,87,1.40,Flows exceed this rate 75% of the time
STEVEN'S GULCH ACCESS TO MISHAWAKA INN,197,2.15,Flows exceed this rate 50% of the time
STEVEN'S GULCH ACCESS TO MISHAWAKA INN,577,3.11,Flows exceed this rate 25% of the time
STEVEN'S GULCH ACCESS TO MISHAWAKA INN,1326,3.85,Flows exceed this rate 10% of the time
STEVEN'S GULCH ACCESS TO MISHAWAKA INN,1967,4.21,Flows exceed this rate 1% of the time
